timestamp,class,confidence,map_x,map_y,robot_x,robot_y,robot_yaw,is_new
2026-03-21T22:14:48.711502,orange,0.992,-4.799,-2.009,-3.625,-2.942,2.714,UPDATE
2026-03-21T22:14:48.711523,orange,0.800,-4.956,-2.250,-3.625,-2.942,2.714,UPDATE
2026-03-21T22:14:49.006670,orange,1.000,-4.898,-2.149,-3.625,-2.942,2.714,UPDATE
2026-03-21T22:14:49.006725,orange,0.992,-4.798,-2.008,-3.625,-2.942,2.714,UPDATE
2026-03-21T22:14:49.006739,orange,0.816,-4.959,-2.255,-3.625,-2.942,2.714,UPDATE
2026-03-21T22:14:49.195847,orange,1.000,-4.899,-2.149,-3.625,-2.942,2.714,UPDATE
2026-03-21T22:14:49.195909,orange,0.992,-4.799,-2.008,-3.625,-2.942,2.714,UPDATE
2026-03-21T22:14:49.195934,orange,0.823,-4.959,-2.256,-3.625,-2.942,2.714,UPDATE
2026-03-21T22:14:49.475007,orange,1.000,-4.898,-2.148,-3.625,-2.942,2.714,UPDATE
2026-03-21T22:14:49.475059,orange,0.992,-4.799,-2.008,-3.625,-2.942,2.714,UPDATE
2026-03-21T22:14:49.475072,orange,0.822,-4.957,-2.253,-3.625,-2.942,2.714,UPDATE
2026-03-21T22:14:50.407823,orange,1.000,-4.898,-2.148,-3.625,-2.942,2.714,UPDATE
2026-03-21T22:14:50.408117,orange,0.992,-4.798,-2.007,-3.625,-2.942,2.714,UPDATE
2026-03-21T22:14:50.408142,orange,0.824,-4.959,-2.255,-3.625,-2.942,2.714,UPDATE
2026-03-21T22:14:50.763328,orange,1.000,-4.898,-2.148,-3.625,-2.943,2.714,UPDATE
2026-03-21T22:14:50.763384,orange,0.993,-4.799,-2.009,-3.625,-2.943,2.714,UPDATE
2026-03-21T22:14:50.763397,orange,0.838,-4.957,-2.251,-3.625,-2.943,2.714,UPDATE
2026-03-21T22:14:51.174936,orange,1.000,-4.899,-2.150,-3.625,-2.943,2.714,UPDATE
2026-03-21T22:14:51.174976,orange,0.995,-4.799,-2.008,-3.625,-2.943,2.714,UPDATE
2026-03-21T22:14:51.174989,orange,0.840,-4.957,-2.252,-3.625,-2.943,2.714,UPDATE
2026-03-21T22:14:51.381635,orange,1.000,-4.900,-2.152,-3.625,-2.943,2.714,UPDATE
2026-03-21T22:14:51.381675,orange,0.995,-4.799,-2.009,-3.625,-2.943,2.714,UPDATE
2026-03-21T22:14:51.381689,orange,0.844,-4.955,-2.248,-3.625,-2.943,2.714,UPDATE
2026-03-21T22:14:51.725376,orange,1.000,-4.899,-2.150,-3.625,-2.942,2.714,UPDATE
2026-03-21T22:14:51.725452,orange,0.994,-4.799,-2.008,-3.625,-2.942,2.714,UPDATE
2026-03-21T22:14:51.725479,orange,0.843,-4.958,-2.254,-3.625,-2.942,2.714,UPDATE
2026-03-21T22:14:52.034943,orange,1.000,-4.898,-2.149,-3.625,-2.942,2.714,UPDATE
2026-03-21T22:14:52.034982,orange,0.994,-4.798,-2.008,-3.625,-2.942,2.714,UPDATE
2026-03-21T22:14:52.034995,orange,0.836,-4.958,-2.254,-3.625,-2.942,2.714,UPDATE
2026-03-21T22:14:52.255545,orange,1.000,-4.898,-2.148,-3.625,-2.942,2.714,UPDATE
